ID	HN-B	HN-Ca	HN-CHL	HN-Cu	HN-DW	HN-Fe	HN-FW	HN-K	HN-LA	HN-Mg	HN-Mn	HN-N	HN-P	HN-S	HN-Zn	LN-B	LN-Ca	LN-CHL	LN-Cu	LN-DW	LN-Fe	LN-FW	LN-K	LN-LA	LN-Mg	LN-Mn	LN-N	LN-P	LN-S	LN-Zn
Ab28A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B10	25.35346688	0.363933765	389.8512074	9.572029862	6.770182988	96.20305966	27.6154729	2.246949487	1207.016649	0.20858351	51.2934899	2.794890353	0.299599415	0.175348676	28.65005266	15.85330705	0.336883619	239.5492805	6.461278145	5.098520618	75.24637944	21.35446228	2.349424428	1048.202906	0.195107469	62.05184983	1.981669131	0.303960964	0.152131118	25.20947125
B103	23.1141027	0.388481088	400.8622522	9.717203514	NA	92.76973021	NA	2.426930199	886.9065926	0.191231663	NA	2.794802893	0.29352788	0.184678698	45.20410765	19.36665642	0.399388147	305.7001639	6.20644631	5.255447511	77.47199942	19.48738399	2.106522404	900.7019669	0.171443554	NA	2.094189028	0.289176849	0.1722568	NA
B104	12.92832063	0.352893382	414.1549684	10.42846372	8.697682164	104.8476824	37.02116903	2.376657601	1372.607445	0.155391589	75.55869911	2.718517077	0.301879855	0.176770802	25.14767752	12.1723744	0.288263115	270.7654483	5.487184481	6.068056487	72.85004324	24.41771916	1.977151969	1071.072383	0.151223345	NA	1.907746858	0.293994618	0.152783697	20.68680072
B105	15.83854408	0.469362237	391.8873557	11.13972393	7.083851108	93.6173058	28.80613902	2.254118144	1253.961502	0.198399678	74.03914753	2.7575903	0.287959897	0.182042732	29.56009215	14.87023016	0.384060556	254.7986225	6.20644631	5.092273018	69.44439131	20.74269628	2.124004895	963.3481392	0.159311429	63.84050311	1.889102641	0.31808346	0.143047145	23.7121614
B109	15.47476615	0.417598301	461.7743507	10.78409383	8.212072367	96.16003257	32.56181108	2.250976107	1272.615913	0.209151701	94.55309377	2.839458004	0.285175905	0.184678698	23.94429171	11.57285089	0.338077785	326.6493387	6.566077225	6.694646541	75.76917346	26.20802526	2.106522404	1117.727882	0.139091219	59.25984005	2.15012168	0.291585734	0.185238868	21.06497081
B14A	20.56765718	0.401422072	376.5590959	10.78409383	7.496436876	102.0930617	30.29795308	2.298106667	1310.868043	0.248575783	58.08385601	2.887834375	0.313015822	0.182042732	30.36234935	14.5704684	0.303590706	273.4751468	6.20644631	NA	75.52591261	24.19742759	2.061067927	1100.803489	0.187619722	46.35069869	2.000967943	0.320492344	0.1722568	NA
B164	18.38498959	0.53083191	384.1152803	10.78409383	6.225818759	102.9406373	24.62825542	2.197561471	1164.906726	0.244991775	60.36318337	2.96412019	0.335287755	0.195222558	35.57702119	15.46975366	0.399388147	244.804788	5.846815396	5.030266711	75.0393909	19.95594066	1.973655471	968.1882778	0.18357568	56.76129656	1.945035292	0.277132428	0.136556111	19.93046055
B2	15.63323691	0.359151262	358.8573141	9.572029862	7.684593856	99.69830054	35.99529488	2.361489239	1347.699	0.175067191	56.194383	2.719453587	0.272592876	0.164610139	18.60293893	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B37	17.2936558	0.585831091	430.6860493	11.49535404	7.354040018	100.1860166	31.21877632	2.109584425	1242.507553	0.25215979	59.98329548	2.848761152	0.313015822	0.189950628	28.75783494	16.66880066	0.4760261	256.5468151	5.846815396	5.944043872	68.4713479	23.68691061	1.854774531	1042.437977	0.191663764	38.43864431	1.891433168	0.286767965	0.159274731	21.82131098
