HAV,N_treatment
HAV_5651,no_N
HAV_5652,no_N
HAV_5653,no_N
HAV_5654,no_N
HAV_5655,no_N
HAV_5656,no_N
HAV_5657,no_N
HAV_5658,no_N
HAV_5659,no_N
HAV_5660,no_N
HAV_5661,no_N
HAV_5662,no_N
HAV_5663,no_N
HAV_5664,no_N
HAV_5665,no_N
HAV_5666,no_N
HAV_5667,no_N
HAV_5668,no_N
HAV_5669,no_N
HAV_5670,no_N
HAV_5671,no_N
HAV_5672,no_N
HAV_5673,no_N
HAV_5674,no_N
HAV_5675,no_N
HAV_5676,no_N
HAV_5677,no_N
HAV_5678,no_N
HAV_5679,no_N
HAV_5680,no_N
HAV_5681,no_N
HAV_5682,no_N
HAV_5683,no_N
HAV_5684,no_N
HAV_5685,no_N
HAV_5686,no_N
HAV_5687,no_N
HAV_5688,no_N
HAV_5689,no_N
HAV_5690,no_N
HAV_5691,no_N
HAV_5692,no_N
HAV_5693,no_N
HAV_5694,no_N
HAV_5695,no_N
HAV_5696,no_N
HAV_5697,no_N
HAV_5698,no_N
HAV_5699,no_N
HAV_5700,no_N
HAV_5701,no_N
HAV_5702,no_N
HAV_5703,no_N
HAV_5704,no_N
HAV_5705,no_N
HAV_5706,no_N
HAV_5707,no_N
HAV_5708,no_N
HAV_5709,no_N
HAV_5710,no_N
HAV_5711,no_N
HAV_5712,no_N
HAV_5713,no_N
HAV_5714,no_N
HAV_5715,no_N
HAV_5716,no_N
HAV_5717,no_N
HAV_5718,no_N
HAV_5719,no_N
HAV_5720,no_N
HAV_5721,no_N
HAV_5722,no_N
HAV_5723,no_N
HAV_5724,no_N
HAV_5725,no_N
HAV_5726,no_N
HAV_5727,no_N
HAV_5728,no_N
HAV_5729,no_N
HAV_5730,no_N
HAV_5731,no_N
HAV_5732,no_N
HAV_5733,no_N
HAV_5734,no_N
HAV_5735,no_N
HAV_5736,no_N
HAV_5737,no_N
HAV_5738,no_N
HAV_5739,no_N
HAV_5740,no_N
HAV_5741,no_N
HAV_5742,no_N
HAV_5743,no_N
HAV_5744,no_N
HAV_5745,no_N
HAV_5746,no_N
HAV_5747,no_N
HAV_5748,no_N
HAV_5749,no_N
HAV_5750,no_N
HAV_5751,no_N
HAV_5752,no_N
HAV_5753,no_N
HAV_5754,no_N
HAV_5755,no_N
HAV_5756,no_N
HAV_5757,no_N
HAV_5758,no_N
HAV_5759,no_N
HAV_5760,no_N
HAV_5761,no_N
HAV_5762,no_N
HAV_5763,no_N
HAV_5764,no_N
HAV_5765,no_N
HAV_5766,no_N
HAV_5767,no_N
HAV_5768,no_N
HAV_5769,no_N
HAV_5770,no_N
HAV_5771,no_N
HAV_5772,no_N
HAV_5773,no_N
HAV_5774,no_N
HAV_5775,no_N
HAV_5776,no_N
HAV_5777,no_N
HAV_5778,no_N
HAV_5779,no_N
HAV_5780,no_N
HAV_5781,no_N
HAV_5782,no_N
HAV_5783,no_N
HAV_5784,no_N
HAV_5785,no_N
HAV_5786,no_N
HAV_5787,no_N
HAV_5788,no_N
HAV_5789,no_N
HAV_5790,no_N
HAV_5791,no_N
HAV_5792,no_N
HAV_5793,no_N
HAV_5794,no_N
HAV_5795,no_N
HAV_5796,no_N
HAV_5797,no_N
HAV_5798,no_N
HAV_5799,no_N
HAV_5800,no_N
HAV_5801,no_N
HAV_5802,no_N
HAV_5803,no_N
HAV_5804,no_N
HAV_5805,no_N
HAV_5806,no_N
HAV_5807,no_N
HAV_5808,no_N
HAV_5809,no_N
HAV_5810,no_N
HAV_5811,no_N
HAV_5812,no_N
HAV_5813,no_N
HAV_5814,no_N
HAV_5815,no_N
HAV_5816,no_N
HAV_5817,no_N
HAV_5818,no_N
HAV_5819,no_N
HAV_5820,no_N
HAV_5821,no_N
HAV_5822,no_N
HAV_5823,no_N
HAV_5824,no_N
HAV_5825,no_N
HAV_5826,no_N
HAV_5827,no_N
HAV_5828,no_N
HAV_5829,no_N
HAV_5830,no_N
HAV_5831,no_N
HAV_5832,no_N
HAV_5833,no_N
HAV_5834,no_N
HAV_5835,no_N
HAV_5836,no_N
HAV_5837,no_N
HAV_5838,no_N
HAV_5839,no_N
HAV_5840,no_N
HAV_5841,no_N
HAV_5842,no_N
